registration_number,fei_number,firm_name,owner_operator,city,state,country,status,product_code,establishment_type,created_date,owner_operator_number
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JGS,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2016-03-07,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGA,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2016-03-07,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,KHP,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2016-03-07,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CHL,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2016-03-07,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JFP,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2016-03-07,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,PZI,Manufacture Medical Device,2024-03-05,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,PJF,Manufacture Medical Device for Another Party (Contract Manufacturer),2015-01-05,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,CGA,Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Medical Device,2007-10-19,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,JJX,Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JGS,Manufacture Medical Device,2007-10-19,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,KHP,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2011-12-02,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JJY,Manufacture Medical Device,2007-10-19,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,PZI,Manufacture Medical Device,2016-02-29,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,GKF,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CHL,Manufacture Medical Device,2007-10-19,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,PZI,Manufacture Medical Device; Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device for Another Party (Contract Manufacturer),2015-01-15,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,JGS,Remanufacture Medical Device; Manufacture Medical Device,2007-10-19,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,CHL,Remanufacture Medical Device; Manufacture Medical Device,2016-03-07,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,PTC,Manufacture Device in the United States for Export Only; Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Medical Device,2017-05-11,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,JJX,Manufacture Medical Device,2012-05-01,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,KHP,Manufacture Medical Device,2012-05-01,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,CEM,Manufacture Device in the United States for Export Only,2017-08-03,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,NBW,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-01-31,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,CGA,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-01-31,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,JIX,Manufacture Medical Device; Remanufacture Medical Device,2014-11-26,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,JJS,Manufacture Medical Device; Remanufacture Medical Device,2014-11-26,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,CHL,Manufacture Medical Device; Remanufacture Medical Device,2014-11-26,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,PZI,Manufacture Medical Device,2016-02-29,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,CHL,Remanufacture Medical Device; Manufacture Medical Device,2018-11-20,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CEM,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGZ,Manufacture Medical Device for Another Party (Contract Manufacturer),2013-12-13,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CEM,Manufacture Medical Device for Another Party (Contract Manufacturer),2013-12-13,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JGS,Manufacture Medical Device for Another Party (Contract Manufacturer),2013-12-13,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JFL,Manufacture Medical Device for Another Party (Contract Manufacturer),2013-12-13,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,CGA,Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Medical Device,2010-11-26,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,JJX,Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Medical Device,2010-11-26,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,NBW,Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Medical Device,2010-11-26,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,JIN,Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Medical Device,2010-11-26,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JKS,Manufacture Device in the United States for Export Only,2017-08-03,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,CDS,Remanufacture Medical Device; Manufacture Medical Device,2018-11-20,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,CGL,Remanufacture Medical Device; Manufacture Medical Device,2018-11-20,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,CGA,Remanufacture Medical Device; Manufacture Medical Device,2018-11-20,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,LBR,Manufacture Device in the United States for Export Only,2017-06-27,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JJY,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,MQM,Manufacture Device in the United States for Export Only,2017-08-03,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGZ,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JJY,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CFA,Remanufacture Medical Device; Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2019-12-12,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JFP,Remanufacture Medical Device; Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2019-12-12,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CHL,Remanufacture Medical Device; Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2019-12-12,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,GKF,Remanufacture Medical Device; Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2019-12-12,1219029
3011979858,3011979858,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,LFR,Manufacture Medical Device for Another Party (Contract Manufacturer); Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2013-07-17,1219029
3011979858,3011979858,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,NBW,Manufacture Medical Device for Another Party (Contract Manufacturer); Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2013-07-17,1219029
3011979858,3011979858,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,JJX,Manufacture Medical Device for Another Party (Contract Manufacturer); Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2013-07-17,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JFP,Manufacture Device in the United States for Export Only,2017-08-03,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,LBR,Manufacture Device in the United States for Export Only,2017-06-27,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JPK,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,GKR,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CHL,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGA,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JGS,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CEM,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JEP,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGZ,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JIX,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JKS,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JPI,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-10-19,1219029
3011979858,3011979858,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,PZI,Manufacture Medical Device,2024-03-05,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CHL,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JBJ,Manufacture Device in the United States for Export Only,2017-08-03,1219029
3011979858,3011979858,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,JJX,Remanufacture Medical Device; Manufacture Medical Device,2012-05-01,1219029
3011979858,3011979858,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,KHP,Remanufacture Medical Device; Manufacture Medical Device,2012-05-01,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CHL,Remanufacture Medical Device; Manufacture Medical Device,2018-11-20,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CHL,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2016-03-07,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CEM,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGA,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JGS,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGZ,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JFP,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGA,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JJX,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGA,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2022-11-08,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JGY,Manufacture Device in the United States for Export Only,2017-06-27,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,PZI,Remanufacture Medical Device; Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Medical Device,2015-06-12,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,KHP,Remanufacture Medical Device; Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Medical Device,2011-12-02,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,LFR,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Medical Device,2013-07-17,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,NBW,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Medical Device,2013-07-17,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,JJX,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Medical Device,2013-07-17,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGA,Manufacture Medical Device; Manufacture Medical Device for Another Party (Contract Manufacturer),2010-11-26,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JJX,Manufacture Medical Device; Manufacture Medical Device for Another Party (Contract Manufacturer),2010-11-26,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,NBW,Manufacture Medical Device; Manufacture Medical Device for Another Party (Contract Manufacturer),2010-11-26,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JIN,Manufacture Medical Device; Manufacture Medical Device for Another Party (Contract Manufacturer),2010-11-26,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JJW,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2024-12-09,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,GFS,Manufacture Device in the United States for Export Only,2017-08-03,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JPI,Remanufacture Medical Device; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JPK,Remanufacture Medical Device; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JFL,Remanufacture Medical Device; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JJC,Remanufacture Medical Device; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CDS,Remanufacture Medical Device; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JIX,Remanufacture Medical Device; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CEM,Remanufacture Medical Device; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGA,Remanufacture Medical Device; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGZ,Remanufacture Medical Device; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGL,Remanufacture Medical Device; Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JJY,Manufacture Device in the United States for Export Only; Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Medical Device,2010-11-26,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JJX,Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CHL,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGZ,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CEM,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JIX,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,GKR,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JIP,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JGS,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JFP,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGA,Manufacture Medical Device,2007-10-19,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,LXG,Repack or Relabel Medical Device; Develop Specifications But Do Not Manufacture At This Facility,2022-11-29,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JJY,Manufacture Medical Device,2007-10-19,1219029
3011979858,3011979858,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,NBW,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-01-31,1219029
3011979858,3011979858,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,CGA,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-01-31,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,NBW,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-01-31,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGA,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2007-01-31,1219029
3011979858,3011979858,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,LFR,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Device in the United States for Export Only; Manufacture Medical Device,2012-05-01,1219029
3011979858,3011979858,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,NBW,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Device in the United States for Export Only; Manufacture Medical Device,2012-05-01,1219029
3011979858,3011979858,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,JJX,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Device in the United States for Export Only; Manufacture Medical Device,2012-05-01,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CFA,Manufacture Device in the United States for Export Only,2017-08-03,1219029
3011979858,3011979858,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,CGA,Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Device in the United States for Export Only; Manufacture Medical Device,2015-04-22,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,NGD,Remanufacture Medical Device; Manufacture Medical Device,2011-12-02,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,GKK,Remanufacture Medical Device; Manufacture Medical Device,2011-12-02,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,CDS,Remanufacture Medical Device; Manufacture Medical Device,2011-12-02,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,CGA,Remanufacture Medical Device; Manufacture Medical Device,2011-12-02,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,CEM,Remanufacture Medical Device; Manufacture Medical Device,2011-12-02,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,CGZ,Remanufacture Medical Device; Manufacture Medical Device,2011-12-02,1219029
3023162659,3023162659,Nova Biomedical Corporation,NOVA BIOMEDICAL CORP.,,,,1,JGS,Remanufacture Medical Device; Manufacture Medical Device,2011-12-02,1219029
