product_res_number,event_date_initiated,event_date_posted,recall_status,product_code,root_cause_description,reason_for_recall,product_description,recalling_firm,distribution_pattern,action
Z-1900-2013,2013-07-15,2013-08-09,Terminated,NBW,Material/Component Contamination,Reports of false abnormally high glucose readings from test strips,"Nova Max Glucose Test Strips (100 Count Retail Canada)Catalog Number: 43955 

Product Usage:   The Nova Max Glucose Test Strips are for use with the Nova Max Family of Glucose Monitors (Nova Max, Nova Max Plus, Nova Max Link, BD Logic and Paradigm Link). These monitors are intended to be used for the quantitative measurement of glucose in fresh capillary whole blood. They are intended for use by people with diabetes mellitus in the home and by healthcare professionals in clinical settings as an aid to monitor the effectiveness of diabetes control",Nova Biomedical Corporation,"Worldwide Distribution - USA Nationwide and the countries of  Chile, England , Peru, Nicaragua","Nova Biomedical U.S.A  issued an Urgent Medical Device Voluntary Recall Letter dated July 19, 2013 via registered/certified letters to affected customers.  The letter identified the affected product, problem and actions to be taken.  Customers were instructed to immediately discontinue use of the affected product; contact Nova Diabetes Care Customer Service for replacement strips; do not stop testing blood glucose while waiting for replacement strips; if affected strips must be used follow precautions provided in notification letter.  For questions call Nova Diabetes Care Customer Service at 1-800-681-7390.

."
Z-1901-2013,2013-07-15,2013-08-09,Terminated,NBW,Material/Component Contamination,Reports of false abnormally high glucose readings from test strips,"Nova Max Glucose Test Strips (10 Count Vials)
Catalog Number: 43604
These strips are kitted into Nova Max Glucose Test Strip System Kits 43435 and 45507

Product Usage:   The Nova Max Glucose Test Strips are for use with the Nova Max Family of Glucose Monitors (Nova Max, Nova Max Plus, Nova Max Link, BD Logic and Paradigm Link). These monitors are intended to be used for the quantitative measurement of glucose in fresh capillary whole blood. They are intended for use by people with diabetes mellitus in the home and by healthcare professionals in clinical settings as an aid to monitor the effectiveness of diabetes control",Nova Biomedical Corporation,"Worldwide Distribution - USA Nationwide and the countries of  Chile, England , Peru, Nicaragua","Nova Biomedical U.S.A  issued an Urgent Medical Device Voluntary Recall Letter dated July 19, 2013 via registered/certified letters to affected customers.  The letter identified the affected product, problem and actions to be taken.  Customers were instructed to immediately discontinue use of the affected product; contact Nova Diabetes Care Customer Service for replacement strips; do not stop testing blood glucose while waiting for replacement strips; if affected strips must be used follow precautions provided in notification letter.  For questions call Nova Diabetes Care Customer Service at 1-800-681-7390.

."
Z-1902-2013,2013-07-15,2013-08-09,Terminated,NBW,Material/Component Contamination,Reports of false abnormally high glucose readings from test strips,"Nova Max Glucose Test Strips (50 Count International
Catalog Number: 45512

Product usage:  The Nova Max Glucose Test Strips are for use with the Nova Max Family of Glucose Monitors (Nova Max, Nova Max Plus, Nova Max Link, BD Logic and Paradigm Link). These monitors are intended to be used for the quantitative measurement of glucose in fresh capillary whole blood. They are intended for use by people with diabetes mellitus in the home and by healthcare professionals in clinical settings as an aid to monitor the effectiveness of diabetes control",Nova Biomedical Corporation,"Worldwide Distribution - USA Nationwide and the countries of  Chile, England , Peru, Nicaragua","Nova Biomedical U.S.A  issued an Urgent Medical Device Voluntary Recall Letter dated July 19, 2013 via registered/certified letters to affected customers.  The letter identified the affected product, problem and actions to be taken.  Customers were instructed to immediately discontinue use of the affected product; contact Nova Diabetes Care Customer Service for replacement strips; do not stop testing blood glucose while waiting for replacement strips; if affected strips must be used follow precautions provided in notification letter.  For questions call Nova Diabetes Care Customer Service at 1-800-681-7390.

."
Z-1903-2013,2013-07-15,2013-08-09,Terminated,NBW,Material/Component Contamination,Reports of false abnormally high glucose readings from test strips,"Nova Max Plus Monitor System (Kit w/10 Count Vials)
Catalog Number: 43435

Product usage:  The Nova Max Glucose Test Strips are for use with the Nova Max Family of Glucose Monitors (Nova Max, Nova Max Plus, Nova Max Link, BD Logic and Paradigm Link). These monitors are intended to be used for the quantitative measurement of glucose in fresh capillary whole blood. They are intended for use by people with diabetes mellitus in the home and by healthcare professionals in clinical settings as an aid to monitor the effectiveness of diabetes control",Nova Biomedical Corporation,"Worldwide Distribution - USA Nationwide and the countries of  Chile, England , Peru, Nicaragua","Nova Biomedical U.S.A  issued an Urgent Medical Device Voluntary Recall Letter dated July 19, 2013 via registered/certified letters to affected customers.  The letter identified the affected product, problem and actions to be taken.  Customers were instructed to immediately discontinue use of the affected product; contact Nova Diabetes Care Customer Service for replacement strips; do not stop testing blood glucose while waiting for replacement strips; if affected strips must be used follow precautions provided in notification letter.  For questions call Nova Diabetes Care Customer Service at 1-800-681-7390.

."
Z-1904-2013,2013-07-15,2013-08-09,Terminated,NBW,Material/Component Contamination,Reports of false abnormally high glucose readings from test strips,"Nova Max Glucose Test Strips (10 Count Canada)Catalog Number: 43877

Product The Nova Max Glucose Test Strips are for use with the Nova Max Family of Glucose Monitors (Nova Max, Nova Max Plus, Nova Max Link, BD Logic and Paradigm Link). These monitors are intended to be used for the quantitative measurement of glucose in fresh capillary whole blood. They are intended for use by people with diabetes mellitus in the home and by healthcare professionals in clinical settings as an aid to monitor the effectiveness of diabetes control",Nova Biomedical Corporation,"Worldwide Distribution - USA Nationwide and the countries of  Chile, England , Peru, Nicaragua","Nova Biomedical U.S.A  issued an Urgent Medical Device Voluntary Recall Letter dated July 19, 2013 via registered/certified letters to affected customers.  The letter identified the affected product, problem and actions to be taken.  Customers were instructed to immediately discontinue use of the affected product; contact Nova Diabetes Care Customer Service for replacement strips; do not stop testing blood glucose while waiting for replacement strips; if affected strips must be used follow precautions provided in notification letter.  For questions call Nova Diabetes Care Customer Service at 1-800-681-7390.

."
Z-1905-2013,2013-07-15,2013-08-09,Terminated,NBW,Material/Component Contamination,Reports of false abnormally high glucose readings from test strips,"Nova Max Plus Monitor System (Kit w/10 Count Vials Canada) Catalog Number: 43861

Product usage:  The Nova Max Glucose Test Strips are for use with the Nova Max Family of Glucose Monitors (Nova Max, Nova Max Plus, Nova Max Link, BD Logic and Paradigm Link). These monitors are intended to be used for the quantitative measurement of glucose in fresh capillary whole blood. They are intended for use by people with diabetes mellitus in the home and by healthcare professionals in clinical settings as an aid to monitor the effectiveness of diabetes control",Nova Biomedical Corporation,"Worldwide Distribution - USA Nationwide and the countries of  Chile, England , Peru, Nicaragua","Nova Biomedical U.S.A  issued an Urgent Medical Device Voluntary Recall Letter dated July 19, 2013 via registered/certified letters to affected customers.  The letter identified the affected product, problem and actions to be taken.  Customers were instructed to immediately discontinue use of the affected product; contact Nova Diabetes Care Customer Service for replacement strips; do not stop testing blood glucose while waiting for replacement strips; if affected strips must be used follow precautions provided in notification letter.  For questions call Nova Diabetes Care Customer Service at 1-800-681-7390.

."
Z-1906-2013,2013-07-15,2013-08-09,Terminated,NBW,Material/Component Contamination,Reports of false abnormally high glucose readings from test strips,"Nova Max Plus Monitor System (Kit w/10 Count Vials International)
Catalog Number: 45507

Product Usage:  The Nova Max Glucose Test Strips are for use with the Nova Max Family of Glucose Monitors (Nova Max, Nova Max Plus, Nova Max Link, BD Logic and Paradigm Link). These monitors are intended to be used for the quantitative measurement of glucose in fresh capillary whole blood. They are intended for use by people with diabetes mellitus in the home and by healthcare professionals in clinical settings as an aid to monitor the effectiveness of diabetes control",Nova Biomedical Corporation,"Worldwide Distribution - USA Nationwide and the countries of  Chile, England , Peru, Nicaragua","Nova Biomedical U.S.A  issued an Urgent Medical Device Voluntary Recall Letter dated July 19, 2013 via registered/certified letters to affected customers.  The letter identified the affected product, problem and actions to be taken.  Customers were instructed to immediately discontinue use of the affected product; contact Nova Diabetes Care Customer Service for replacement strips; do not stop testing blood glucose while waiting for replacement strips; if affected strips must be used follow precautions provided in notification letter.  For questions call Nova Diabetes Care Customer Service at 1-800-681-7390.

."
Z-1153-2013,2013-02-25,2013-04-19,Terminated,CGA,Process design,Glucose test strips reports no result message when tested,"Nova StatStrip Xpress Glu-Test Strips (Glucose test strips)
Catalog # 42214",Nova Biomedical Corporation,"Worldwide distribution: USA (nationwide) including states of: CA, IL, KY,NY, WV and countries of: United Kingdom and Italy.","The firm, Nova Biomedical, sent an ""Urgent Field Safety Notice 01-13SS"" dated March 18, 2013 and US customers notification by phone contact and to the International customers including a Faxback Form to be communicated to and sent to Nova Biomedical Subsidiary by two methods of delivery (Email and Phone Call). The customers were instructed to INVALIDATE the Nova StatStrip Glucose Test Strip lots indicated in the list on all StatStrip meters within your institute; REPLACE all Nova StatStrip Glucose Test Strips from the indicated lots with replacement test strips provided by Nova; REMOVE all unused boxes of the Nova StatStrip Glucose Test Strip lots indicated from all locations within your institute; RETURN all unused boxes of the Nova StatStrip Glucose Test Strips lots indicated to Nova Biomedical U.K. or your local Nova distributor following the country specific instructions provided by your authorized Nova representative, and complete and return the Fax-Back Form via email or FAX to your Regional Service Manager at  781-8914806.

On April 08, 2013,  the firm expanded the recall notification to include one additional test strip lot #0313021309 which was shipped under two catalog numbers(Catalog # 42214 and  Catalog# 51493). US Notification by phone contact with key customer contact facilitated by Senior Manger of Technical Support Services. International - Field Safety Notice and Faxback Form is being communicated to and sent to Nova Biomedical Subsidiary by two methods of delivery (Email and Phone Call).

Questions regarding this notice should be directed to the following Nova Biomedical EU Authorized Representative at: Nova Biomedical Innovation House, Aston Lane South Runcorn,WA7 3FY Telephone: + 44 1244 287087
Email: Europe@novabiomedical.co.uk. or US at  (781) 894-0800."
Z-1154-2013,2013-02-25,2013-04-19,Terminated,CGA,Process design,Glucose test strips reports no result message when tested,"Nova StatStrip Xpress Glu-Test Strips (Glucose test strips)
Catalog # 51493 (UK Only)",Nova Biomedical Corporation,"Worldwide distribution: USA (nationwide) including states of: CA, IL, KY,NY, WV and countries of: United Kingdom and Italy.","The firm, Nova Biomedical, sent an ""Urgent Field Safety Notice 01-13SS"" dated March 18, 2013 and US customers notification by phone contact and to the International customers including a Faxback Form to be communicated to and sent to Nova Biomedical Subsidiary by two methods of delivery (Email and Phone Call). The customers were instructed to INVALIDATE the Nova StatStrip Glucose Test Strip lots indicated in the list on all StatStrip meters within your institute; REPLACE all Nova StatStrip Glucose Test Strips from the indicated lots with replacement test strips provided by Nova; REMOVE all unused boxes of the Nova StatStrip Glucose Test Strip lots indicated from all locations within your institute; RETURN all unused boxes of the Nova StatStrip Glucose Test Strips lots indicated to Nova Biomedical U.K. or your local Nova distributor following the country specific instructions provided by your authorized Nova representative, and complete and return the Fax-Back Form via email or FAX to your Regional Service Manager at  781-8914806.

On April 08, 2013,  the firm expanded the recall notification to include one additional test strip lot #0313021309 which was shipped under two catalog numbers(Catalog # 42214 and  Catalog# 51493). US Notification by phone contact with key customer contact facilitated by Senior Manger of Technical Support Services. International - Field Safety Notice and Faxback Form is being communicated to and sent to Nova Biomedical Subsidiary by two methods of delivery (Email and Phone Call).

Questions regarding this notice should be directed to the following Nova Biomedical EU Authorized Representative at: Nova Biomedical Innovation House, Aston Lane South Runcorn,WA7 3FY Telephone: + 44 1244 287087
Email: Europe@novabiomedical.co.uk. or US at  (781) 894-0800."
Z-1783-2010,2010-02-12,2010-06-10,Terminated,CGA,Nonconforming Material/Component,Glucose strips report low glucose results,"Nova StatStrip Glucose Test Strips, Catalog Number: 42214.  Nova Biomedical Corporation.  Waltham, MA 02454.

Intended for in vitro diagnostic use by health care professionals and for Point-Of-Care usage for the quantitative measurement of glucose in capillary, venous, arterial and neonate whole blood.",Nova Biomedical Corporation,"Worldwide Distribution -- United States (CO, MA, MN and RI), United Kingdom, Germany, France and Italy.","Nova Biomedical notified  it's domestic Consignees by a  Customer Advisory Notice by phone and follow up by email and/or fax dated February 12, 2010. The firm will replace all affected inventory at customer sites via overnight shipment of replacement Test Strips to customer site.  

For further information, contact your local Nova Support Department or call 1-800-545-6682."
Z-1328-2009,2008-08-11,2009-05-07,Terminated,CGL,Process control,"Erroneous, low creatinine results on CCX analyzer","Stat Profile Critical Care Xpress (CCX and CCX+), CCX Creatinine Membrane Kit for CCX analyzer
Catalog # 35238

Intended for in vitro diagnostic use by health care professionals and for point-of-care usage in the quantitative determination of pH, PCO2, PO2, SO2%, Hematocrit (Hct), Ca++, total hemoglobin (tHb), Oxyhemoglobin (O2Hb), Carboxyhemoglobin (COHb), Methemoglobin (MetHb), reduced hemoglobin (HHb), Oxygen content (O2Ct) and Oxygen capacity (O2Cap) in heparinized whole blood; Na+, K+, CL-; Ca++, Mg++, Glucose heparinized whole blood, serum, or plasma.",Nova Biomedical Corporation,"Worldwide Distribution -- USA, Canada, Germany, France, Czech Republic, Taiwan, Japan, Thailand, Italy, Hungary, India, UK, Ireland, Venezuela, Brazil, and Hong Kong.","Initial:
USA and Canada - Customer Advisory Notice notification by phone contact with key customer contact facilitated using a Field Correction Script. This contact will be documented within the Nova Biomedical Technical Support database (Pivotal) and on a Field Correction Checklist.  All affected inventory will be replaced at customer sites.
International - Customer Advisory Notice and Faxback Form being communicated and sent to Nova Biomedical Subsidiaries and Distributors by three methods of delivery (Email, Fax and Phone Call).

Follow-up:
USA and Canada - Sending the Customer Advisory Notice by email and/or fax to the key customer contact from the initial phone contact.
International - Sending the Customer Advisory Notice by email and/or fax to the key contact."
