report_number,date_received,event_type,brand,generic,model,problem,narrative
MW5187509,20260430,Malfunction,STATSTRIP XPRESS 2 METER,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,,,"NOVA GEN 2 GLUCOMETERS WITH REPEATED ISSUES CONNECTING TO NETWORKS AND DOWNLOADING RESULTS LEADING TO MANUAL ENTRY OF RESULTS, POTENTIAL DELAYS IN CARE. METERS ARE SOMETIMES NEEDING TO BE RESET MULTIPLE TIMES CAUSING PATIENTS TO HAVE MULTIPLE SAMPLES COLLECTED."
25028070,20260429,Malfunction,STATSTRIP,"GLUCOSE OXIDASE, GLUCOSE",GLU TEST STRIP,,"NUMEROUS GLUCOSE STRIPS WERE NOT WORKING PROPERLY FROM A SINGLE CONTAINER. UPON CLOSER INSPECTION FOLLOWING THE ISSUE, THE STRIPS APPEARED TO BE DISCOLORED. CONTAINER WAS INADVERTENTLY THROWN AWAY IN THE RESUS ROOM BY ANOTHER RN BUT I AM PUTTING THIS SAFER IN FOR AWARENESS."
1219029-2026-00028,20260423,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"AN INVESTIGATION INTO THE ROOT CAUSE OF THE REPORTED ISSUE HAS BEGUN BUT IS NOT YET COMPLETED. A SUPPLEMENTAL REPORT WILL BE ISSUED UPON COMPLETION OF THE INVESTIGATION. | PER CUSTOMER ""REPLACEMENT METERS RECENTLY RECEIVED ARE LOSING CONNECTION TO THE NETWORK AND SERVER AND ATTEMPTING TO CONNECT TO THE HOSPITAL GUEST WIFI. THIS IS CAUSING A SIGNIFICANT DELAY IN RESULTS REACHING THE CHART AND IMPACTING PATIENT CARE."""
1219029-2026-00024,20260422,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Electrical /Electronic Property Problem,"AN INVESTIGATION IS UNDERWAY TO DETERMINE THE ROOT CAUSE OF THE REPORTED ISSUE BUT HAS NOT YET COMPLETED. UPON COMPLETION OF THE OF THE INVESTIGATION, A SUPPLEMENTAL REPORT WILL BE SUBMITTED. | NURSE REPORTED TO CUSTOMER THAT THE DEVICE GOT HOT WHILE IN THE CHARGING DOCK (SINGLE) AND THE SCREEN WENT BLACK. WHEN NURSE TOOK IT OUT OF THE DOCK, METER WAS STILL POWERED ON BUT THE SCREEN REMAIN BLACK. PER CUSTOMER,  ""EMPLOYEE DROPPED THE METER WHEN PICKED UP OFF OF SINGLE DOCKING STATION DUE TO IT BEING VERY HOT - STARTLING HER. PATIENT TESTING WAS DELAYED DUE TO NOT KNOWING WHAT TROUBLESHOOTING STEPS TO TAKE TO RESOLVE OVERHEATING AND HAD TO GRAB A LOANER ON THE OTHER SIDE OF THE ER."""
1219029-2026-00025,20260422,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"PER CUSTOMER ""REPLACEMENT METERS RECENTLY RECEIVED ARE LOSING CONNECTION TO THE NETWORK AND SERVER AND ATTEMPTING TO CONNECT TO THE HOSPITAL GUEST WIFI. THIS IS CAUSING A SIGNIFICANT DELAY IN RESULTS REACHING THE CHART AND IMPACTING PATIENT CARE."" | AN INVESTIGATION INTO THE ROOT CAUSE OR THE REPORTED ISSUE HAS BEGUN BUT IS NOT YET COMPLETED. A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON COMPLETION OF THE INVESTIGATION."
1219029-2026-00026,20260422,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"PER CUSTOMER ""REPLACEMENT METERS RECENTLY RECEIVED ARE LOSING CONNECTION TO THE NETWORK AND SERVER AND ATTEMPTING TO CONNECT TO THE HOSPITAL GUEST WIFI. THIS IS CAUSING A SIGNIFICANT DELAY IN RESULTS REACHING THE CHART AND IMPACTING PATIENT CARE."" | AN INVESTIGATION INTO THE ROOT CAUSE OF THE REPORTED ISSUE HAS BEGUN BUT IS NOT YET COMPLETED. A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON COMPLETION OF THE INVESTIGATION."
1219029-2026-00027,20260422,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"AN INVESTIGATION INTO THE ROOT CAUSE OF THE REPORTED ISSUE HAS BEGUN BUT IS NOT YET COMPLETED. A SUPPLEMENTAL REPORT WILL BE ISSUED UPON COMPLETION OF THE INVESTIGATION. | PER CUSTOMER ""REPLACEMENT METERS RECENTLY RECEIVED ARE LOSING CONNECTION TO THE NETWORK AND SERVER AND ATTEMPTING TO CONNECT TO THE HOSPITAL GUEST WIFI. THIS IS CAUSING A SIGNIFICANT DELAY IN RESULTS REACHING THE CHART AND IMPACTING PATIENT CARE."""
1219029-2026-00023,20260417,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"STATSTRIP GEN 2 METER SENT A PATIENT RESULT TO THE WRONG PATIENTS CHART. | UPON RECEIVING ADDITIONAL INFORMATION FROM THE CONSUMER, THERE WERE NO ALLEGATIONS OF MISTREATMENT OF PATIENTS. THOUGH NOT EXPLICITLY STATED BY THE CONSUMER, THERE IS A POSSIBILITY FOR DELAY IN TREATMENT. THIS COMPLAINT IS ANTICIPATED TO BE FORMALLY INVESTIGATED. A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON COMPLETION OF THE INVESTIGATION."
1219029-2026-00021,20260406,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,Prescription use blood glucose meter for near-patient testing,2.0,Computer Software Problem,"UPON RECEIVING ADDITION INFORMATION FROM THE CONSUMER, THERE WERE NO ALLEGATIONS OF MISTREATMENT OF PATIENTS. THOUGH NOT EXPLICITLY STATED BY THE CONSUMER, THERE IS A POSSIBILITY FOR DELAY IN TREATMENT. THIS COMPLAINT IS ANTICIPATED TO BE FORMALLY INVESTIGATED BY THE TEAM UPON THE RETURN OF PRODUCT FROM THE CONSUMER. A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON COMPLETION OF THE INVESTIGATION. | THE CONSUMER REPORTED THAT THE METER WAS SENDING THE WRONG PATIENT RESULTS TO ANOTHER PATIENT'S CHART."
1219029-2026-00022,20260406,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"TECHNICAL SUPPORT WAS ABLE TO MANUALLY TRANSMIT THE PENDING RESULTS. AN INVESTIGATION INTO THE ROOT CAUSE OF THE REPORTED ISSUE HAS BEGUN BUT IS NOT YET COMPLETED. A SUPPLEMENTAL REPORT WILL BE ISSUED UPON COMPLETION OF THE INVESTIGATION. | A NOVA STATSTRIP METER WAS TRYING TO TRANSMIT THE SAME GLUCOSE RESULTS OVER AND OVER TO THEIR CONNECTIVITY SOFTWARE. THIS CREATED A BACKLOG OF RESULTS THAT COULD NOT BE SENT TO THE PATIENTS CHARTS. ALTHOUGH THERE WERE NO DIRECT REPORTS OF ANY DELAYS IN TREATMENT, THERE IS A POTENTIAL FOR DELAYS."
1219029-2026-00020,20260320,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,GLUCOSE TEST SYSTEM FOR NEAR PATIENT TESTING,,Electrical /Electronic Property Problem,"THIS INVESTIGATION WAS CONDUCTED IN RESPONSE TO CUSTOMER COMPLAINT (B)(4), IN WHICH THE CUSTOMER REPORTED THAT THEIR STATSTRIP GLU HOSPITAL 2.0 WIRELESS METER AND STATSTRIP 2.0 WIRELESS DOCKING STATION WERE DAMAGED DUE TO OVERHEATING, RESULTING IN MELTED PLASTIC. THE RETURNED DEVICES INCLUDED A STATSTRIP GLU HOSPITAL 2.0 WIRELESS METER (SN (B)(6)) AND STATSTRIP 2.0 WIRELESS DOCKING STATION (SN (B)(6)). UPON RECEIPT, BASIC POWER-UP TESTING CONFIRMED THAT THE METER POWERED ON SUCCESSFULLY AND WAS ABLE TO CHARGE IN THE RETURNED DOCKING STATION WITHOUT ISSUE. VISUAL INSPECTION IDENTIFIED LOCALIZED MELTING OF THE EXTERNAL PLASTIC HOUSING ON THE BACK OF THE METER AND THE FRONT OF THE WIRELESS DOCKING STATION AT THE INTERFACE WHERE THE DEVICES CONNECT DURING NORMAL WIRELESS CHARGING (REFER TO ATTACHMENT 1, IMAGES 1 AND 2). IT WAS NOTED THAT THE AFFECTED AREAS EXHIBITED A DISTINCT WAFFLE-PATTERN | THE METER AND THE DOCKING STATION SHOWED EVIDENCE OF OVERHEATING. THE PLASTIC ON THE BACK OF THE METER AND AREA ON THE FRONT OF THE DOCKING STATION SHOWED EVIDENCE OF MELTING."
1219029-2026-00019,20260312,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"TECHNICAL SUPPORT MANUALY TRANSMITTED THE STUCK RESULT WHICH REMOVED THE BACKLOG OF PENDING RESULTS. AN INVESTIGATION INTO THE ROOT CAUSE OF THE ISSUE HAS BEGUN BUT IS NOT YET COMPLETED. A SUPPLEMENTAL REPORT WILL BE ISSUED UPON COMPLETION OF THE INVESTIGATION. | STATSTRIP GEN 2.0 METER TRANSMITTED THE SAME RESULT REPEATEDLY TO CUSTOMERS MIDDLEWARE, PREVENTING OTHER RESULTS FROM CROSSING INTO THE PATIENTS CHART. ALTHOUGH THERE WAS NO DIRECT ALLEGATION OF A DELAY IN TREATMENT, THERE IS A POTENTIAL FOR DELAYS WITH THIS ISSUE."
1219029-2026-00018,20260311,Malfunction,STAT PROFILE PRIME PLUS® ANALYZER,"ELECTRODE MEASUREMENT, BLOOD-GASES (PCO2, PO2) AND BLOOD PH",,Failure to Prime,"A FIELD SERVICE VISIT WAS INITIATED. THE TECHNICIAN DISCOVERED THE CERAMICS MANIFOLD WAS LEAKING PINK FLUID INSIDE. THE ROTARY VALVE CERAMICS WERE REPLACED. THE ANALYZER WAS LEFT IN WORKING CONDITION. MULTIPLE ATTEMPTS WERE MADE TO THE CUSTOMER TO OBTAIN ADDITIONAL DETAILS TO HELP ASCERTAIN ROOT CAUSE, ON 2/10 AND 2/18, WITH NO RESPONSE. A DHR (DEVICE HISTORY RECORD) REVIEW WAS PERFORMED ON THE REPORTED ANALYZER. NO ABNORMALITIES OR CONCERNS WERE OBSERVED. THE DHR INDICATED THE RELEASED PRODUCT MET ALL SPECIFICATIONS. NO FURTHER ACTION IS RECOMMENDED AT THIS TIME. NOVA BIOMEDICAL WILL CONTINUE TO MONITOR FOR THIS OR SIMILAR EVENTS. | PER CUSTOMER: ""I AM WRITING TO REPORT THAT OUR NOVA STAT PROFILE PRIME PLUS WAS COMPLETELY NONFUNCTIONAL TODAY, WHICH SIGNIFICANTLY IMPACTED PATIENT TESTING AND WORKFLOW IN OUR LABORATORY. THIS DOWNTIME DIRECTLY AFFECTED PATIENT CARE. WE HAD A STAT PATIENT WITH SUSPECTED HYPERKALEMIA, AND WE WERE UNABLE TO PROVIDE CRITICAL POTASSIUM RESULTS TO THE PROVIDER DUE TO THE INSTRUMENT FAILURE. THIS SITUATION POSED A SERIOUS RISK TO TIMELY CLINICAL DECISION-MAKING."" A FOLLOW UP WITH THE CUSTOMER INDICATED THE ANALYZER HAD BEEN DOWN ALL DAY AND AFTER CONSUMABLES WERE REPLACED THE ANALYZER HAS BEEN BUSY PRIMING/CALIBRATING AND MOST OF THE TEST ARE LOCKED OUT. THE AUDIT LOG INDICATED SLOPE ERRORS ON SEVERAL PARAMETERS."
1219029-2026-00017,20260310,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,STATSTRIP GEN 2.0 METER TRANSMITTING THE SAME RESULT REPEATEDLY TO CUSTOMER'S MIDDLEWARE. ALTHOUGH THERE WAS NO DIRECT ALLEGATION OF ANY DELAYS IN TREATMENT DUE TO THIS ISSUE THIS ISSUE COULD POTENTIALLY LEAD TO DELAYS. | TECHNICAL SUPPORT WAS ABLE TO MANUALLY TRANSMIT THE STUCK RESULT WHICH REMOVED THE BACKLOG OF PENDING RESULTS. AN INVESTIGATION INTO THE ROOT CAUSE OF THE ISSUE HAS BEGUN BUT IS NOT YET COMPLETED. A SUPPLEMENTAL REPORT WILL BE ISSUED UPON COMPLETION OF THE INVESTIGATION.
1219029-2026-00016,20260306,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"TECHNICAL SUPPORT WAS ABLE TO MANUALLY TRANSMIT THE STUCK RESULTS WHICH REMOVED THE BACKLOG OF PENDING RESULTS IN THE SYSTEM. AN INVESTIGATION INTO THE ROOT CAUSE OF THE ISSUE HAS BEGUN BUT IS NOT YET COMPLETED. A SUPPLEMENTAL REPORT WILL BE ISSUED UPON COMPLETION OF THE INVESTIGATION. | TWO RESULTS FROM A STATSTRIP GEN 2.0 METER WERE TRANSMITTED REPEATEDLY TO CUSTOMERS CONNECTIVITY SOFTWARE PREVENTING OTHER RESULTS FROM CROSSING TO PATIENTS CHART. ALTHOUGH THERE WAS NO DIRECT ALLEGATIONS OF ANY DELAYS IN TREATMENT, THIS COULD POTENTIALLY LEAD TO DELAYS."
1219029-2026-00015,20260305,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"TECHNICAL SUPPORT WAS ABLE TO MANUALLY TRANSMIT THE STUCK RESULT WHICH REMOVED THE BACKLOG OF RESULTS. AN INVESTIGATION INTO THE ROOT CAUSE OF THE REPORTED ISSUE HAS BEGUN BUT IS NOT YET COMPLETED. A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON COMPLETION OF THE INVESTIGATION. | RESULT FROM STATSTRIP GEN 2 METER TRANSMITTED TO CUSTOMER'S CONNECTIVTY SYSTEM (RALS) STUCK IN ""PENDING"" STATUS WHICH PREVEMTED OTHER RESULTS FROM CROSSING TO PATIENTS CHART. ALTHOUGH THERE WERE NO SPECIFIC ALLEGATIONS OF DELAYS IN TREATMENT, THIS ISSUE COULD POTENTIALLY LEAD TO DELAYS."
1219029-2026-00014,20260303,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,2.0,Computer Software Problem,"THE DEVICE IN QUESTION IS A STATSTRIP GEN2 GLUCOSE METER. HOWEVER, THE SPECIFIC SERIAL NUMBER WAS NOT PROVIDED. TECHNICAL SUPPORT WAS ABLE TO MANUALLY TRANSMIT THE STUCK RESULT, WHICH REMOVED THE BACKLOG OF RESULTS. AN INVESTIGATION INTO THE ROOT CAUSE OF THE REPORTED ISSUE HAS BEGUN BUT IS NOT YET COMPLETED. A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON COMPLETION OF THE INVESTIGATION. | RESULT FROM STATSTRIP GEN 2 METER TRANSMITTED TO CUSTOMER'S MIDDLEWARE STUCK IN ""PENDING"" STATUS WHICH PREVENTED OTHER RESULTS FROM CROSSING TO PATIENTS CHART. ALTHOUGH THERE WERE NO SPECIFIC ALLEGATIONS OF DELAYS IN TREATMENT, THIS ISSUE COULD POTENTIALLY LEAD TO DELAYS."
